Michmas	默瑪
Haeleph	以利弗
Illyricum	以利哩古
Elealeh	以利亞利
Elon	以倫
Etham	以倘
Ebenezer	以便以謝
Ibleam	以伯蓮
Taanach	他納
Tamar	他瑪
Tabor	他泊
Tappuah	他普亞
Tarshish	他施
Taralah	他拉拉
Tabbath	他巴
Taberah	他備拉
Shittim	什亭
Timnah	亭納
Timnah	亭拿
Dinhabah	亭哈巴
Methegammah	京城
Arumah	亞魯瑪
Arubboth	亞魯泊
Ecbatana	亞馬他
Addon	亞頓
Achzib	亞革悉
Akeldama	亞革大馬
Aphekah	亞非加
Ananiah	亞難雅
Valley of Aijalon	亞雅崙谷
Ajalon	亞雅崙
Azotus	亞鎖都
Addar	亞達珥
Assyria	亞述
Achaia	亞該亞
Azekah	亞西加
Aram	亞蘭
Azal	亞薩
Aroer	亞羅珥
Aroer	亞羅珥
Aroer	亞羅珥
Abana	亞罷拿
Asia	亞細亞
Arvad	亞發
Adam	亞當城
Accad	亞甲
Avva	亞瓦
Amalek	亞瑪力
Argob	亞珥歌伯
Arpad	亞珥拔
Ar	亞珥
Ashan	亞珊
Apollonia	亞波羅尼亞
Forum of Appius	亞比烏市
Abile'ne	亞比利尼
Acco	亞柯
Adullam	亞杜蘭
Amad	亞末
Avith	亞未得
Assos	亞朔
Amam	亞曼
Azmaveth	亞斯瑪弗
Astaroth	亞斯她錄
Valley of Aven	亞文平原
Avvim	亞文
Ammon	亞捫
Anamim	亞拿米
Anathoth	亞拿突
Anab	亞拿伯
Ararat	亞拉臘
Allammelech	亞拉米勒
Arad	亞拉得
Arabah	亞拉巴
Arab	亞拉
Anim	亞念
sea of Adria	亞得里亞海
Aphik	亞弗革
Aphek	亞弗
Adithaim	亞底他音
Anem	亞年
Abarim	亞巴琳
Ashdod	亞實突
Ashnah	亞實拿
Ashkenaz	亞實基拿
Ashkelon	亞實基倫
Arnon river	亞嫩河
Arnon	亞嫩
Adadah	亞大達
Adramyttium	亞大米田
Attalia	亞大利
Adoraim	亞多萊音
Ain	亞因
Ahava	亞哈瓦
Achor	亞割
Arimathea	亞利馬太
Ariel	亞利伊勒
Ebez	亞別
Akrabbim	亞克拉濱
Abelmeholah	亞伯米何拉
Ataroth	亞他綠
Atharim	亞他林
Aner	亞乃
LowerBethhoron	下伯和崙
Three Taverns	三館地方
Sansannah	三撒拿
Elteke	
Ensemes	
Eleale	
Bethmarchaboth	
Abyssinia	
Haram	
Beth-Meon	
Accaron	
Bethnemra	
Accho-Bethshan Corridor	
Beth-Palet	
Adarsa	
Adasa	
Geon	
Beth-san	
Addus	
Amanus	
Adiabene	
Beirut	
Bethsur (A)	
Benejaacan	
Aceldama	
Faiyum	
Berachah, Vally of	
Ascent of Adummim	
Fishmonger' Gate	
Ascent of Akrabbim	
Gaas (Mt., torrent, Valley of)	
Gaba	
Ascent of Ziz	
Galaad	
Azeca, Azecha	
Berotha	
Baal of Judah	
Berytus	
Beth	
Gedera	
Beth Togarmah (unknown)	
Betharaba	
