SERAIAH	西萊雅
BAARA	巴拉
PALAL	巴拉
BALADAN	巴拉但
MERODACH-BALADAN	巴拉但
BARCHIAS	巴拉加
BARABBAS	巴拉巴
BARACHEL	巴拉迦
BAANAH	巴拿
BARNABAS	巴拿巴
BANSABAS	巴撒巴
PASHUR	巴施戶珥
BARKOS	巴柯
BAASHA	巴沙
BAZLUTH	巴洗律
PARSHANDATHA	巴珊大他
RAVAI	巴瓦伊
PARMENAS	巴米拿
BAR-JONA	巴約拿
BAR-JESU	巴耶穌
PASACH	巴薩
BALAAM	巴蘭
RASEAH	巴西亞
BARZILLAI	巴西萊
BAASEIAH	巴西雅
PAROSH	巴錄
BARUCH	巴錄
PADON	巴頓
BUKKI	布基
BUKKIAH	布基雅
BUNNI	布尼
BUNAH	布拿
BUZ	布斯
PUDENS	布田
BUZI	布西
hiel	希伊勒
heber	希伯
hebron	希伯倫
helon	希倫
hillel	希列
heber	希別
helez	希利斯
helek	希勒
hilkiah	希勒家
helkai	希勒愷
hiddai	希太
heman	希幔
hepher	希弗
herod	希律
hezir	希悉
hirah	希拉
helah	希拉
henadad	希拿達
hezron	希斯倫
hezron	希斯倫
hezro	希斯羅
hezro	希斯萊
hezion	希旬
heber	希百
heled	希立
herodion	希羅天
herodias	希羅底
hiram	希蘭
hizki	希西基
hezekiah	希西家
hizkijah	希西家
hegai	希該
helem	希連
heli	希里
PALTITE	帕勒提
PALTI	帕提
PATHRUSIM	帕斯魯細
PARMASHTA	帕瑪斯他
PARNACH	帕納
PAGIEL	帕結
PAARAI	帕萊
PARUAH	帕路亞
PALTIEL	帕鐵
TERTULLUS	帖土羅
CANDACE	干大基
JUSHAB-HSED	干沙希悉
DIBRI	底伯利
DEDAN	底但
DINAH	底拿
DEBORAH	底波拉
DISHAN	底珊
DEBIR	底璧
DEKAR	底甲
DEMETRIUS	底米丟
TIMAEUS	底買
DISHON	底順
DUMAH	度瑪
PHUT	弗
PHLEGON	弗勒干
MIBHAR	彌伯哈
MIKNEIAH	彌克尼雅
MICAH	彌迦
BETHUEL	彼土利
PETER	彼得
PERSIS	彼息氏
PILATE	彼拉多
SYNTYCHE	循都基
TERTIUS	德丟
DIKLAH	德拉
ZIMRIO	心利
ZIMRAN	心蘭
BIL-SHAN	必珊
PIL-DASH	必達
ZILPAH	悉怕
MEONOTHAL	憫挪太
HUSHIM	戶伸
HURI	戶利
HUL	戶勒
HULDAH	戶勒大
HUPHAM	戶反
HUPPIM	戶品
HUPPlM	戶品
HUSHAH	戶沙
HUSHAM	戶珊
HUR	戶珥
HURAI	戶萊
HURAM	戶蘭
SOPATER	所巴特
SOSTHENES	所提尼
ZERUBBABEL	所羅巴伯
SOLOMON	所羅門
SOSIPATER	所西巴德
MAHALI	抹利
MAGPIASH	抹比押
MACHBENAH	抹比拿
AZBUK	押卜
ARDON	押墩
ABDA	押大
ABNER	押尼珥
ABDI	押底
ADBEEL	押德別
ASNAH	押拿
ADNAH	押拿
ACHSAH	押撒
AZRIKAM	押斯利甘
AZMAVETH	押斯瑪威
AZMAVETH	押斯瑪弗
AZZUR	押朔
JADDUA	押杜亞
ABDIEL	押比疊
