OGNTsort	OGNTa	RMAC
018083	Ἀποκριθεὶς	V-AOP-NSM
018091	φοβεῖσθε	V-PNM-2P
018112	ἔκειτο	V-INI-3S
018115	πορευθεῖσαι	V-AOP-NPF
018134	ὄψεσθε	V-FDI-2P
018177	φοβεῖσθε	V-PNM-2P
018190	ὄψονται	V-FDI-3P
018191	Πορευομένων	V-PNP-GPF
018270	ἐπορεύθησαν	V-AOI-3P
018306	πορευθέντες	V-AOP-NPM
018331	ἐνετειλάμην	V-ADI-1S
018403	ἐξεπορεύετο	V-INI-3S
018449	Ἔρχεται	V-PNI-3S
018678	εἰσπορεύονται	V-PNI-3P
018822	κατέκειτο	V-INI-3S
018861	δαιμονιζομένους	V-PNP-APM
018903	προσηύχετο	V-INI-3S
018955	ἔρχεται	V-PNI-3S
018969	δύνασαί	V-PNI-2S
018973	σπλαγχνισθεὶς	V-AOP-NSM
018978	ἥψατο	V-ADI-3S
018994	ἐμβριμησάμενος	V-ADP-NSM
019027	ἤρξατο	V-ADI-3S
019037	δύνασθαι	V-PNN
019049	ἤρχοντο	V-INI-3P
019082	ἔρχονται	V-PNI-3P
019092	δυνάμενοι	V-PNP-NPM
019111	κατέκειτο	V-INI-3S
019133	καθήμενοι	V-PNP-NPM
019135	διαλογιζόμενοι	V-PNP-NPM
019146	δύναται	V-PNI-3S
019164	διαλογίζονται	V-PNI-3P
019171	διαλογίζεσθε	V-PNI-2P
019259	ἤρχετο	V-INI-3S
019272	καθήμενον	V-PNP-ASM
019286	γίνεται	V-PNI-3S
019287	κατακεῖσθαι	V-PNN
019298	συνανέκειντο	V-INI-3P
019368	ἔρχονται	V-PNI-3P
019395	δύνανται	V-PNI-3P
019416	δύνανται	V-PNI-3P
019418	ἐλεύσονται	V-FDI-3P
019457	γίνεται	V-PNI-3S
019493	παραπορεύεσθαι	V-PNN
019501	ἤρξαντο	V-ADI-3P
019655	συλλυπούμενος	V-PNP-NSM
019799	προσκαλεῖται	V-PNI-3S
019888	ἔρχεται	V-PNI-3S
019892	συνέρχεται	V-PNI-3S
019898	δύνασθαι	V-PNN
019937	προσκαλεσάμενος	V-ADP-NSM
019944	δύναται	V-PNI-3S
019955	δύναται	V-PNI-3S
019967	δυνήσεται	V-FDI-3S
019982	δύναται	V-PNI-3S
019989	δύναται	V-PNI-3S
020057	ἔρχονται	V-PNI-3P
020074	ἐκάθητο	V-INI-3S
020097	ἀποκριθεὶς	V-AOP-NSM
020115	καθημένους	V-PNP-APM
020143	ἤρξατο	V-ADI-3S
020159	καθῆσθαι	V-PNN
020326	γίνεται	V-PNI-3S
020357	γνώσεσθε	V-FDI-2P
020378	ἔρχεται	V-PNI-3S
020456	εἰσπορευόμεναι	V-PNP-NPF
020462	γίνεται	V-PNI-3S
020478	παραδέχονται	V-PNI-3P
020493	ἔρχεται	V-PNI-3S
020660	γίνεται	V-PNI-3S
020670	δύνασθαι	V-PNN
020689	ἠδύναντο	V-INI-3P
020736	γίνεται	V-PNI-3S
020803	ἐφοβήθησαν	V-AOI-3P
020863	ἐδύνατο	V-INI-3S
021052	ἔρχονται	V-PNI-3P
021059	δαιμονιζόμενον	V-PNP-ASM
021060	καθήμενον	V-PNP-ASM
021069	ἐφοβήθησαν	V-AOI-3P
021071	διηγήσαντο	V-ADI-3P
021078	δαιμονιζομένῳ	V-PNP-DSM
021084	ἤρξαντο	V-ADI-3P
021101	δαιμονισθεὶς	V-AOP-NSM
021135	ἤρξατο	V-ADI-3S
021170	ἔρχεται	V-PNI-3S
021255	ἥψατο	V-ADI-3S
021305	ἥψατο	V-ADI-3S
021323	ἥψατο	V-ADI-3S
021333	φοβηθεῖσα	V-AOP-NSF
021373	ἔρχονται	V-PNI-3P
021399	φοβοῦ	V-PNM-2S
021421	ἔρχονται	V-PNI-3P
021469	εἰσπορεύεται	V-PNI-3S
021525	ἔρχεται	V-PNI-3S
021539	ἤρξατο	V-ADI-3S
021567	γινόμεναι	V-PNP-NPF
021627	ἐδύνατο	V-INI-3S
021653	προσκαλεῖται	V-PNI-3S
021657	ἤρξατο	V-ADI-3S
021718	δέξηται	V-ADS-3S
021723	ἐκπορευόμενοι	V-PNP-NPM
021857	ἠδύνατο	V-INI-3S
021861	ἐφοβεῖτο	V-INI-3S
021911	ὀρχησαμένης	V-ADP-GSF
021917	συνανακειμένοις	V-PNP-DPM
021995	ἀνακειμένους	V-PNP-APM
022087	ἐρχόμενοι	V-PNP-NPM
022130	ἐσπλαγχνίσθη	V-AOI-3S
022141	ἤρξατο	V-ADI-3S
022181	ἀποκριθεὶς	V-AOP-NSM
022320	προσεύξασθαι	V-ADN
022355	ἔρχεται	V-PNI-3S
022399	φοβεῖσθε	V-PNM-2P
022455	ἤρξαντο	V-ADI-3P
022470	εἰσεπορεύετο	V-INI-3S
022499	ἥψαντο	V-ADI-3P
022630	σέβονταί	V-PNI-3P
022725	προσκαλεσάμενος	V-ADP-NSM
022741	εἰσπορευόμενον	V-PNP-NSN
022745	δύναται	V-PNI-3S
022753	ἐκπορευόμενά	V-PNP-NPN
022788	εἰσπορευόμενον	V-PNP-NSN
022793	δύναται	V-PNI-3S
022798	εἰσπορεύεται	V-PNI-3S
022811	ἐκπορεύεται	V-PNI-3S
022823	ἐκπορευόμενον	V-PNP-NSN
022839	ἐκπορεύονται	V-PNI-3P
022858	ἐκπορεύεται	V-PNI-3S
022880	ἠδυνήθη	V-AOI-3S
022943	ἀπεκρίθη	V-ADI-3S
023044	ἥψατο	V-ADI-3S
023120	προσκαλεσάμενος	V-ADP-NSM
023125	Σπλαγχνίζομαι	V-PNI-1S
023159	ἀπεκρίθησαν	V-ADI-3P
023167	δυνήσεταί	V-FDI-3S
023258	ἤρξαντο	V-ADI-3P
023332	διελογίζοντο	V-INI-3P
023344	διαλογίζεσθε	V-PNI-2P
023407	ἔρχονται	V-PNI-3P
023544	Ἀποκριθεὶς	V-AOP-NSM
023562	ἤρξατο	V-ADI-3S
023601	ἤρξατο	V-ADI-3S
023631	προσκαλεσάμενος	V-ADP-NSM
023646	ἀπαρνησάσθω	V-ADM-3S
023704	ἐπαισχυνθῇ	V-AOS-3S
023723	ἐπαισχυνθήσεται	V-FOI-3S
023753	γεύσωνται	V-ADS-3P
023807	δύναται	V-PNI-3S
023822	ἀποκριθεὶς	V-AOP-NSM
